Time_Index,None,pacific_naturalgas,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs90,pacific_naturalgas_ccs100,rockies_naturalgas_ccs90,rockies_naturalgas_ccs100
0,0.0,0.05306,0.05306,0.0,0.0,0.00531,0.0,0.00531,0.0
1,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
2,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
3,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
4,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
5,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
6,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
7,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
8,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
9,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
10,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
11,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
12,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
13,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
14,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
15,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
16,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
17,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
18,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
19,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
20,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
21,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
22,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
23,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
24,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
25,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
26,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
27,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
28,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
29,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
30,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
31,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
32,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
33,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
34,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
35,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
36,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
37,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
38,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
39,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
40,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
41,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
42,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
43,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
44,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
45,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
46,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
47,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
48,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
49,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
50,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
51,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
52,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
53,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
54,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
55,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
56,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
57,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
58,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
59,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
60,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
61,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
62,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
63,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
64,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
65,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
66,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
67,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
68,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
69,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
70,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
71,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
72,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
73,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
74,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
75,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
76,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
77,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
78,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
79,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
80,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
81,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
82,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
83,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
84,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
85,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
86,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
87,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
88,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
89,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
90,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
91,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
92,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
93,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
94,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
95,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
96,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
97,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
98,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
99,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
100,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
101,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
102,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
103,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
104,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
105,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
106,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
107,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
108,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
109,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
110,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
111,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
112,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
113,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
114,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
115,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
116,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
117,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
118,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
119,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
120,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
121,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
122,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
123,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
124,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
125,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
126,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
127,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
128,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
129,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
130,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
131,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
132,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
133,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
134,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
135,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
136,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
137,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
138,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
139,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
140,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
141,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
142,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
143,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
144,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
145,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
146,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
147,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
148,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
149,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
150,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
151,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
152,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
153,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
154,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
155,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
156,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
157,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
158,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
159,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
160,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
161,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
162,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
163,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
164,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
165,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
166,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
167,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
168,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
169,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
170,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
171,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
172,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
173,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
174,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
175,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
176,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
177,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
178,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
179,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
180,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
181,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
182,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
183,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
184,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
185,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
186,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
187,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
188,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
189,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
190,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
191,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
192,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
193,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
194,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
195,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
196,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
197,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
198,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
199,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
200,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
201,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
202,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
203,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
204,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
205,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
206,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
207,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
208,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
209,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
210,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
211,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
212,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
213,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
214,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
215,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
216,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
217,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
218,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
219,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
220,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
221,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
222,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
223,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
224,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
225,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
226,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
227,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
228,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
229,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
230,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
231,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
232,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
233,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
234,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
235,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
236,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
237,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
238,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
